subject,trial_type,trial_num,ic_video_frame,hip_flex,knee_valg,trunk_lean,ankle_angle_sagittal,peak_vgrf_bw,loading_rate_bw_s,bw_N
sub01,CMJ,1,723,9.11958852261161,12.30535131026186,3.641475070530369,156.22329750217347,5.688124069401055,183.48787320648566,568.98
sub01,CMJ,2,455,9.225390824566002,13.748225669978957,0.7020553939022529,172.66519921514205,6.961842328116212,217.55757275363163,568.98
sub01,CMJ,3,517,7.308240588937405,12.029296957882003,3.4593340141749396,176.80663800205735,7.005469517203482,200.1562719200995,568.98
sub01,DJ,1,536,10.574446766403359,19.806148836465326,1.1143932879064222,167.1756445027927,4.761861884081492,97.18085477717331,568.98
sub01,DJ,2,456,10.25290256351045,20.787031723015332,0.15641218175300348,170.83568814323866,6.51596988113598,130.3193976227196,568.98
sub01,DJ,3,693,8.89448164028164,11.705386070430652,1.8516557933096158,161.95909972335488,6.859401568925972,263.8231372663836,568.98
sub02,CMJ,1,747,10.615384867777468,16.853384977261324,3.469027129667008,173.70153921151893,3.8203710805840196,65.86846690662102,608.22
sub02,CMJ,2,757,10.274514627326324,12.482496671259117,0.527876721846526,167.59267323975217,2.9619947282130643,42.92745982917484,608.22
sub02,CMJ,3,775,11.331525385545689,13.494487944776463,5.375198369784872,174.68294762403673,3.2416606199494016,49.871701845375405,608.22
sub02,DJ,1,866,7.376130749365695,14.185189529120661,4.532675142099202,167.44630718678172,3.9455282735572137,62.62743291360657,608.22
sub02,DJ,2,1143,7.695233877663006,14.423823168616327,1.3447763116121536,172.6734453678431,3.20769620425432,45.824231489347426,608.22
sub02,DJ,3,759,7.617307080273398,18.027398710737085,2.356318590858067,168.5993015014558,4.078880486424525,92.70182923692104,608.22
sub03,CMJ,1,745,7.615035780304203,11.740098751283522,1.383601692411856,165.48662164707827,3.64506846213387,40.50076069037633,608.22
sub03,CMJ,2,714,7.698678510252482,8.782022853753046,1.6921934991784169,172.46981509997207,3.5580369173443613,41.37252229470188,608.22
sub03,CMJ,3,667,7.238439480526841,7.0059136906836095,2.4455104038948656,171.48829180593964,4.551383633736045,54.18313849685767,608.22
sub03,DJ,1,585,8.04433006602027,10.701333683647885,1.956445567093829,171.37255066361348,3.825196733462501,60.71740846765874,608.22
sub03,DJ,2,544,5.789471996737102,10.29676522173351,3.3141771077234723,169.67775801520773,4.288415054893788,53.605188186172356,608.22
sub03,DJ,3,818,5.144707868148233,12.57756673143416,6.18992352681317,163.8650775220811,3.499371411748563,49.9910201678366,608.22
sub04,CMJ,1,948,7.486469478973989,11.217744493475701,0.8213285748624081,173.26306170435532,4.013251888258463,59.89928191430541,608.22
sub04,CMJ,2,978,6.206002368174155,11.652543083958701,0.17456767966522602,174.93488109061624,3.65539226649267,48.09726666437724,608.22
sub04,CMJ,3,1001,5.894806511776648,10.837404638882557,10.952099397209992,162.31205851113825,3.9471038761159614,69.24743642308704,608.22
sub04,DJ,1,824,8.984776730789184,7.518339715815193,0.5439882491225707,175.38653860313286,5.209765535085989,86.82942558476648,608.22
sub04,DJ,2,1052,7.071621220962719,13.856906382654554,1.9853305228311888,169.81598176700703,3.8133642101259615,52.23786589213647,608.22
sub04,DJ,3,1276,7.380262410434079,12.102293380642351,5.5342453313728,176.26011675154643,4.203338738449903,73.74278488508601,608.22
sub06,CMJ,1,921,8.510765310679965,8.951935379097627,1.871843406430762,175.72207520410643,3.1320063467540993,46.74636338438954,627.84
sub06,CMJ,2,1080,8.407673585945314,8.485253809099328,2.6354560787125374,176.09669409410742,3.664990812995747,51.61958891543306,627.84
sub06,CMJ,3,1088,7.136389742113362,12.884644109163204,6.3939433264739405,171.91097492293446,3.2367854064879187,39.47299276204779,627.84
