subject,trial_type,trial_num,ic_video_frame,hip_flex,knee_valg,trunk_lean,ankle_angle_sagittal,peak_vgrf_bw,loading_rate_bw_s,bw_N,knee_moment_avg_Nmkg,hip_moment_avg_Nmkg,z_hip_flex,z_knee_valg,z_trunk_lean,z_ankle_angle_sagittal,KScore_raw,z_peak_vgrf_bw,z_loading_rate_bw_s,DScore_orig_raw,z_up_peak_vgrf_bw,z_up_loading_rate_bw_s,z_up_knee_moment_avg_Nmkg,z_up_hip_moment_avg_Nmkg,DScore_upgraded_raw
sub01,CMJ,1,723,9.11958852261161,12.30535131026186,3.641475070530369,156.22329750217347,5.688124069401055,183.4878732064857,568.98,8.505731953324066,13.253318565990243,-0.6215337596314027,0.0739561272410744,-0.2702762167852474,-0.06597823554335788,-0.2209580211797334,0.5445031843432742,0.26633448324868,0.4054188337959771,0.5445031843432742,0.26633448324868,1.4569383839483139,2.0519218210327725,1.0799244681432603
sub01,CMJ,2,455,9.225390824566002,13.748225669978956,0.7020553939022529,172.66519921514205,6.961842328116212,217.55757275363163,568.98,7.683205671965053,12.212315153766262,-0.6503171449467839,0.49798438676267387,0.844811812243207,-0.45791820031852415,0.058640213435143196,1.316951603874059,0.4444420460484076,0.8806968249612332,1.316951603874059,0.4444420460484076,1.0331783811301896,1.643748860533763,1.1095802228966047
sub01,CMJ,3,517,7.308240588937405,12.029296957882003,3.45933401417494,176.80663800205735,7.005469517203482,200.1562719200995,568.98,8.145030078350182,12.4618248421433,-0.12875879583488295,-0.007170026110173808,-0.20117981889710343,-0.5566412921237617,-0.22343748324148047,1.3434093805671767,0.35347255344350703,0.8484409670053419,1.3434093805671767,0.35347255344350703,1.2711072062467468,1.741580536186454,1.1773924191109713
sub01,DJ,1,536,10.57444676640336,19.80614883646533,1.1143932879064222,167.1756445027927,4.761861884081492,97.18085477717332,568.98,3.3588619454924284,5.74686453793649,-1.0173261444546355,2.2782714916665587,0.6883887423512977,-0.32705889230475005,0.40556879931461765,-0.017229958936752165,-0.1848562495514197,-0.10104310424408593,-0.017229958936752165,-0.1848562495514197,-1.1946943947875253,-0.8913265175434567,-0.5720267802047885
sub01,DJ,2,456,10.25290256351045,20.78703172301533,0.1564121817530034,170.83568814323866,6.51596988113598,130.3193976227196,568.98,4.999650183206631,8.073139093654575,-0.9298504419714957,2.566530868082305,1.0518051241632722,-0.4143065477496481,0.5685447506311083,1.0465515647558121,-0.011616532753006208,0.517467516001403,1.0465515647558121,-0.011616532753006208,-0.34937134068533726,0.020795730271684323,0.17658985539728825
sub01,DJ,3,693,8.89448164028164,11.705386070430652,1.851655793309616,161.95909972335488,6.859401568925972,263.8231372663836,568.98,6.488124346227407,9.91144703432317,-0.5602937108653494,-0.10236013668433559,0.4087034015463079,-0.20270756039718416,-0.11416450160014033,1.2548262460952861,0.6863064313071298,0.970566338701208,1.2548262460952861,0.6863064313071298,0.41748052753002,0.7415883671070523,0.7750503930098721
sub02,CMJ,1,747,10.615384867777468,16.853384977261324,3.469027129667008,173.7015392115189,3.82037108058402,65.86846690662102,608.22,4.449707945613833,6.8986211921205065,-1.0284633042721887,1.4105207332137948,-0.20485696549006427,-0.482622341528337,-0.07635546951919879,-0.5881985214020463,-0.348549301242303,-0.46837391132217465,-0.5881985214020463,-0.348549301242303,-0.6326978792210854,-0.43972768722994515,-0.5022933472738449
sub02,CMJ,2,757,10.274514627326324,12.482496671259115,0.527876721846526,167.59267323975217,2.9619947282130643,42.92745982917484,608.22,4.551647710835731,6.600640499301353,-0.9357299771874787,0.1260151569134286,0.9108876277062828,-0.3369999703702642,-0.05895679073450788,-1.108762195679894,-0.46847894291939046,-0.7886205692996423,-1.108762195679894,-0.46847894291939046,-0.5801791984485551,-0.5565646352469518,-0.6784962430736978
sub02,CMJ,3,775,11.331525385545689,13.494487944776465,5.375198369784872,174.68294762403673,3.2416606199494016,49.871701845375405,608.22,3.188779359210586,4.999690794875134,-1.2232884459006268,0.4234165872394515,-0.9279754599447334,-0.5060170306188874,-0.5584660873061991,-0.9391583805580827,-0.4321762447025944,-0.6856673126303385,-0.9391583805580827,-0.4321762447025944,-1.2823197982251193,-1.1842901285473197,-0.959486138008279
sub02,DJ,1,866,7.376130749365695,14.18518952912066,4.532675142099202,167.44630718678172,3.9455282735572137,62.62743291360657,608.22,4.443002279233093,6.592737047294156,-0.1472282299647079,0.6263982180972517,-0.608358777495218,-0.33351091498926344,-0.11567492608798442,-0.5122967470154761,-0.365492587303516,-0.4388946671594961,-0.5122967470154761,-0.365492587303516,-0.6361525933971535,-0.5596635447856321,-0.5184013681254445
