spec_id,task,task_tag,direction,k_components,d_components,n,rho,rho_boot_median,rho_ci_lo_boot,rho_ci_hi_boot,rho_ci_lo_analytic,rho_ci_hi_analytic,kappa,kappa_boot_median,kappa_ci_lo_boot,kappa_ci_hi_boot,kappa_ci_lo_analytic,kappa_ci_hi_analytic,conflict_pct,rank
28,CMJ only,CMJ,Reversed (all +1),AD only,Both (GRF+LR),22,0.8272162619988708,0.8201541730313242,0.5774443466556222,0.9483418856602195,0.6228201135141683,0.9259060445938844,0.6363636363636364,0.6363636363636364,0.2666666666666666,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,1
20,CMJ only,CMJ,Pristine,AD only,Both (GRF+LR),22,0.8272162619988708,0.8181301359243371,0.5803666295221312,0.9464395089850671,0.6228201135141683,0.9259060445938844,0.6363636363636364,0.6333333333333333,0.2727272727272727,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,2
29,CMJ only,CMJ,Reversed (all +1),AD only,Peak GRF only,22,0.8125352907961604,0.8049886621315192,0.559564648357917,0.9373213869504272,0.5946250831310408,0.9192398577195523,0.6363636363636364,0.6363636363636364,0.2666666666666666,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,3
21,CMJ only,CMJ,Pristine,AD only,Peak GRF only,22,0.8125352907961604,0.8022792207792209,0.5559284758079938,0.9370781055342128,0.5946250831310408,0.9192398577195523,0.6363636363636364,0.6333333333333333,0.2666666666666666,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,4
4,Pooled (CMJ+DJ),Pooled,Pristine,AD only,Both (GRF+LR),22,0.7741389045736872,0.770246783239855,0.5085130533484677,0.9123217377155869,0.5233339992962585,0.9015110658316279,0.4545454545454546,0.4545454545454546,0.06779661016949146,0.8135593220338984,0.08233577562927158,0.8267551334616376,27.27272727272727,5
12,Pooled (CMJ+DJ),Pooled,Reversed (all +1),AD only,Both (GRF+LR),22,0.7741389045736872,0.7677053824362606,0.499424097772558,0.9101907093040953,0.5233339992962585,0.9015110658316279,0.4545454545454546,0.4545454545454546,0.051724137931034475,0.8135593220338984,0.08233577562927158,0.8267551334616376,27.27272727272727,6
5,Pooled (CMJ+DJ),Pooled,Pristine,AD only,Peak GRF only,22,0.6973461321287409,0.697159179504331,0.3668571428571429,0.8751508299781348,0.3905601747937232,0.8647227248603955,0.4545454545454546,0.4545454545454546,0.05982905982905984,0.811965811965812,0.08233577562927158,0.8267551334616376,27.27272727272727,7
13,Pooled (CMJ+DJ),Pooled,Reversed (all +1),AD only,Peak GRF only,22,0.6973461321287409,0.6967282376228393,0.3824820388210818,0.8777841233580811,0.3905601747937232,0.8647227248603955,0.4545454545454546,0.4545454545454546,0.06779661016949146,0.8166666666666667,0.08233577562927158,0.8267551334616376,27.27272727272727,8
6,Pooled (CMJ+DJ),Pooled,Pristine,KV+AD,Both (GRF+LR),22,0.6465273856578204,0.6564276395489702,0.213021238399869,0.9094594723072786,0.30919405309160836,0.8393482206944973,0.4545454545454546,0.4545454545454546,0.06779661016949146,0.8135593220338984,0.08233577562927158,0.8267551334616376,27.27272727272727,9
14,Pooled (CMJ+DJ),Pooled,Reversed (all +1),KV+AD,Both (GRF+LR),22,0.6465273856578204,0.6557004787398332,0.2290157634994071,0.9087278950370792,0.30919405309160836,0.8393482206944973,0.4545454545454546,0.4545454545454546,0.051724137931034475,0.8166666666666667,0.08233577562927158,0.8267551334616376,27.27272727272727,10
15,Pooled (CMJ+DJ),Pooled,Reversed (all +1),KV+AD,Peak GRF only,22,0.6295878035008471,0.6379114642451761,0.1978899473522256,0.9044911881750994,0.28312682759621827,0.8306991058195321,0.4545454545454546,0.4545454545454546,0.046862992125984514,0.8166666666666667,0.08233577562927158,0.8267551334616376,27.27272727272727,11
7,Pooled (CMJ+DJ),Pooled,Pristine,KV+AD,Peak GRF only,22,0.6295878035008471,0.6360524814603538,0.17290022701299107,0.8984612304952383,0.28312682759621827,0.8306991058195321,0.4545454545454546,0.4545454545454546,0.051724137931034475,0.811965811965812,0.08233577562927158,0.8267551334616376,27.27272727272727,12
46,DJ only,DJ,Reversed (all +1),KV+AD,Both (GRF+LR),22,0.5460191981931113,0.5550510783200909,0.09100215863014499,0.8333333333333331,0.16160765930371185,0.786560364935204,0.2727272727272727,0.2727272727272727,-0.13793103448275867,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,13
0,Pooled (CMJ+DJ),Pooled,Pristine,All 4 (HF+KV+TL+AD),Both (GRF+LR),22,0.5584415584415585,0.5534035745807591,0.193809185721029,0.8030818123609458,0.1789626124743823,0.7932808324696985,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,14
16,CMJ only,CMJ,Pristine,All 4 (HF+KV+TL+AD),Both (GRF+LR),22,0.5460191981931113,0.5498153970703308,0.09501992031872511,0.8683491102985749,0.16160765930371185,0.786560364935204,0.4545454545454546,0.4545454545454546,0.06779661016949146,0.8135593220338984,0.08233577562927158,0.8267551334616376,27.27272727272727,15
38,DJ only,DJ,Pristine,KV+AD,Both (GRF+LR),22,0.5460191981931113,0.5478359908883826,0.09537135164878481,0.8370802363255188,0.16160765930371185,0.786560364935204,0.2727272727272727,0.2666666666666666,-0.14400000000000013,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,16
17,CMJ only,CMJ,Pristine,All 4 (HF+KV+TL+AD),Peak GRF only,22,0.5256916996047432,0.5404328542723085,0.06240242235063463,0.8587116208030912,0.13371243356602283,0.7754389388758174,0.4545454545454546,0.4545454545454546,0.03883495145631066,0.8135593220338984,0.08233577562927158,0.8267551334616376,27.27272727272727,17
1,Pooled (CMJ+DJ),Pooled,Pristine,All 4 (HF+KV+TL+AD),Peak GRF only,22,0.5392433653303219,0.5332761353015201,0.15194372051359392,0.8013649052957019,0.15224049060713446,0.7828704804454992,0.6363636363636364,0.6333333333333333,0.2727272727272727,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,18
8,Pooled (CMJ+DJ),Pooled,Reversed (all +1),All 4 (HF+KV+TL+AD),Both (GRF+LR),22,0.46019198193111244,0.4607056915842387,-0.04101356394365905,0.818702696644544,0.047863384299405135,0.7385171965975506,0.09090909090909094,0.09090909090909094,-0.3414634146341464,0.459016393442623,-0.3252339810608868,0.5070521628790687,45.45454545454545,19
3,Pooled (CMJ+DJ),Pooled,Pristine,KV only,Peak GRF only,22,0.4488989271597968,0.45433789954337894,-0.01828660031844047,0.8073758111253004,0.033652928155354755,0.7319780731744863,0.2727272727272727,0.2727272727272727,-0.13087891698735568,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,20
11,Pooled (CMJ+DJ),Pooled,Reversed (all +1),KV only,Peak GRF only,22,0.4488989271597968,0.45153970447269554,-0.03534878529440861,0.8043230944254836,0.033652928155354755,0.7319780731744863,0.2727272727272727,0.2727272727272727,-0.1785714285714286,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,21
9,Pooled (CMJ+DJ),Pooled,Reversed (all +1),All 4 (HF+KV+TL+AD),Peak GRF only,22,0.4251835121400339,0.43822785234877676,-0.08044895964387208,0.8007013353471841,0.004347647495572403,0.7180740371802878,0.09090909090909094,0.09090909090909094,-0.30508474576271194,0.49541284403669716,-0.3252339810608868,0.5070521628790687,45.45454545454545,22
39,DJ only,DJ,Pristine,KV+AD,Peak GRF only,22,0.43647656691134956,0.43645134418095055,-0.05799139610389609,0.7715958611342784,0.018212971464674932,0.7247242941185511,0.09090909090909094,0.09090909090909094,-0.3162393162393162,0.467741935483871,-0.3252339810608868,0.5070521628790687,45.45454545454545,23
2,Pooled (CMJ+DJ),Pooled,Pristine,KV only,Both (GRF+LR),22,0.43986448334274425,0.4358683314415438,-0.005137986641283792,0.7760182723451083,0.022404177347059677,0.7267089541147617,0.2727272727272727,0.2727272727272727,-0.12830882352941173,0.636388611388611,-0.12930512968829883,0.6747596751428442,36.36363636363637,24
47,DJ only,DJ,Reversed (all +1),KV+AD,Peak GRF only,22,0.43647656691134956,0.43424036281179135,-0.05830752478465789,0.7809945223499625,0.018212971464674932,0.7247242941185511,0.09090909090909094,0.09090909090909094,-0.32793313708999156,0.47619047619047616,-0.3252339810608868,0.5070521628790687,45.45454545454545,25
30,CMJ only,CMJ,Reversed (all +1),KV+AD,Both (GRF+LR),22,0.4251835121400339,0.4331155464353931,-0.05072576562895469,0.782070062347749,0.004347647495572403,0.7180740371802878,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,26
22,CMJ only,CMJ,Pristine,KV+AD,Both (GRF+LR),22,0.4251835121400339,0.4301164698492381,-0.048525380139339366,0.7798063084515666,0.004347647495572403,0.7180740371802878,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,27
10,Pooled (CMJ+DJ),Pooled,Reversed (all +1),KV only,Both (GRF+LR),22,0.43986448334274425,0.42970521541950113,-0.018216990642986316,0.7744869520784716,0.022404177347059677,0.7267089541147617,0.2727272727272727,0.2727272727272727,-0.16260162601626016,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,28
44,DJ only,DJ,Reversed (all +1),AD only,Both (GRF+LR),22,0.4195369847543761,0.419777679453769,0.007360487429752985,0.7216359239109081,-0.00252486145347145,0.7147287299701668,0.2727272727272727,0.2727272727272727,-0.14404583333333346,0.636388611388611,-0.12930512968829883,0.6747596751428442,36.36363636363637,29
36,DJ only,DJ,Pristine,AD only,Both (GRF+LR),22,0.4195369847543761,0.41803743618831535,0.03188794572330572,0.7305051902144151,-0.00252486145347145,0.7147287299701668,0.2727272727272727,0.2727272727272727,-0.16260162601626016,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,30
35,DJ only,DJ,Pristine,KV only,Peak GRF only,22,0.40824392998306047,0.4113292796763989,-0.06326301786393007,0.7548731215372873,-0.016151303052591298,0.7079973482235139,0.2727272727272727,0.2727272727272727,-0.1282051282051282,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,31
43,DJ only,DJ,Reversed (all +1),KV only,Peak GRF only,22,0.40824392998306047,0.40381901535558773,-0.08811659937051414,0.7640132713790546,-0.016151303052591298,0.7079973482235139,0.2727272727272727,0.2727272727272727,-0.14400000000000013,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,32
42,DJ only,DJ,Reversed (all +1),KV only,Both (GRF+LR),22,0.39582156973461324,0.3994301994301995,-0.0796382174815552,0.7475910213039193,-0.030960494715034106,0.7005293805704943,0.09090909090909094,0.09090909090909094,-0.3414634146341464,0.472,-0.3252339810608868,0.5070521628790687,45.45454545454545,33
34,DJ only,DJ,Pristine,KV only,Both (GRF+LR),22,0.39582156973461324,0.3961943086277868,-0.09380864224525394,0.74830230406332,-0.030960494715034106,0.7005293805704943,0.09090909090909094,0.09090909090909094,-0.3414634146341464,0.4923853211009162,-0.3252339810608868,0.5070521628790687,45.45454545454545,34
40,DJ only,DJ,Reversed (all +1),All 4 (HF+KV+TL+AD),Both (GRF+LR),22,0.35855448898927167,0.368749747786575,-0.1533367460968956,0.7211234652068247,-0.07429155781820815,0.6777177558764402,0.2727272727272727,0.2727272727272727,-0.16260162601626016,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,35
31,CMJ only,CMJ,Reversed (all +1),KV+AD,Peak GRF only,22,0.3574251835121401,0.36423082719070005,-0.1340960348944699,0.7451610093610092,-0.0755795921812931,0.6770167695499887,0.6363636363636364,0.6363636363636364,0.278688524590164,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,36
23,CMJ only,CMJ,Pristine,KV+AD,Peak GRF only,22,0.3574251835121401,0.35933923912285565,-0.15981851644767492,0.7583673743117871,-0.0755795921812931,0.6770167695499887,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.31402059888777273,0.9587066738395,18.181818181818183,37
41,DJ only,DJ,Reversed (all +1),All 4 (HF+KV+TL+AD),Peak GRF only,22,0.3540372670807454,0.35806007744113444,-0.14304843304843304,0.7080993362017906,-0.07943504472671106,0.6749103256138231,0.2727272727272727,0.2727272727272727,-0.16260162601626016,0.6363636363636364,-0.12930512968829883,0.6747596751428442,36.36363636363637,38
